RL,SPT-MF,SPT-LU,SPT-HP,MOR-MF,MOR-LU,MOR-HP,MWKR-MF,MWKR-LU,MWKR-HP
0.0,,,,,,,,,
0.0,,,,,,,,,
0.0,,,,,,,,,
0.0,,,,,,,,,
0.0,,,,,,,,,
0.0,,,,,,,,,
0.0,,,,,,,,,
0.0,,,,,,,,,
0.0,,,,,,,,,
0.0,,,,,,,,,
0.0,,,,,,,,,
